course,list,name,offered_w,offered_s,offered_f,easiness_rating,easiness_count,usefulness_rating,usefulness_count,interest_rating,interest_count,description
PHYS 280,2,Introduction to Biophysics,True,True,False,0.8571428571428571,7,0.8333333333333334,6,0.7142857142857143,7,"Introduction to a physical understanding of biological systems at macro and molecular scales. The course is intended for 2nd year science and engineering students and will cover a broad spectrum of topics in biophysics, as well as an introduction to neurobiology, nanotechnology and biotechnology. [Offered: W,S]"
EARTH 122,2,Introductory Environmental Sciences,True,False,False,0.8461538461538461,26,0.4,25,0.34615384615384615,26,"This course presents a broad overview of earth system processes and their influence on humans. Course emphasis is placed on anthropogenic impacts on natural systems, the impacts of geologic, biologic, and atmospheric processes on humans, and the effects of human activities on the environment. Course topics include sustainable development and the availability and use of natural resources, principles of ecology and environmental science, biogeochemical cycles, climate and climate change, soils and food supply, energy systems, surface water and groundwater, waste generation and management, pollution, and catastrophic natural processes. [Note: EARTH 122L is recommended. Offered: W]"
EARTH 123,2,Introductory Hydrology,False,False,True,0.8461538461538461,13,0.7692307692307693,13,0.875,16,"Introduction to the main components of the hydrologic cycle including precipitation processes, evapotranspiration, soil water and groundwater flow, and surface water features. Emphasis will be placed on the atmospheric and geologic processes controlling water movement in the cycle at the global and local scales. Examples related to environmental impacts of urbanization and land-use management will be stressed. [Offered: F]"
EARTH 121,2,Introductory Earth Sciences,False,False,True,0.8428571428571429,70,0.38461538461538464,65,0.5833333333333334,72,"This course explores the geological processes of the Earth's interior and surface. These include volcanism, earthquakes, mountain building, glaciation and weathering. Students will gain an appreciation of how these processes have controlled the evolution of our planet and the role of geology in meeting society's current and future demand for sustainable energy and mineral resources. [Note: EARTH 121L is recommended. Offered: F]"
EARTH 270,2,Disasters and Natural Hazards,True,False,False,0.8333333333333334,6,0.6666666666666666,6,0.5,6,"The course will examine the physical causes and affects of natural disasters including landslides, snow avalanches, earthquakes, tsunamis, hurricanes, tornadoes, flooding, subsidence, volcanic eruptions and asteroid impacts. Illustrated by case histories, the course will analyse the factors that lead to disasters. The effect of climate change, human activity, and population growth on the magnitude and frequency of disasters will be explored. The course will introduce the basic principles of Geo-Risk management and its applications in natural hazards engineering, in the development of mitigation strategies and in the re-insurance industry. [Offered: W]"
BIOL 150,2,Organismal and Evolutionary Ecology,False,False,True,0.7142857142857143,77,0.5652173913043478,69,0.7530864197530864,81,"This course provides students with an introduction to the basic principles of Scientific Reasoning, Ecology and Evolution. Coverage includes hypothesis testing and the nature of scientific inquiry, basic population genetics, physiological ecology, life histories, dispersal, basic population and community ecology, macroevolution, systematics and classification, as well as functional morphology. [Formerly BIOL 250. Offered: F]"
SCI 238,2,Introductory Astronomy,True,False,False,0.7142857142857143,77,0.33783783783783783,74,0.7608695652173914,92,"A survey course in astronomy intended for Mathematics, Engineering and Science students. The solar system, the Sun and planets, stars, the Milky Way, galaxies and cosmology. [Note: Students with a strong background in Physics and Mathematics should consider PHYS 175 instead of SCI 238. Offered: W,S; also offered online: F]"
BIOL 241,2,Introduction to Applied Microbiology,True,True,False,0.7096774193548387,31,0.7333333333333333,30,0.5526315789473685,38,"Introduction to microbial ecology, environmental microbiology, food microbiology and medical microbiology. Topics in environmental microbiology include biogeochemical cycling and biological treatment of wastes and pollutants. Topics in medical microbiology include concepts of immunology and host-parasite relationships. [Offered: W,S]"
BIOL 240,2,Fundamentals of Microbiology,False,True,False,0.5982142857142857,112,0.84375,96,0.8048780487804879,123,"Introduction to the biology of bacterial and archaeal organisms. Topics include cell structure and function, methods of cultivation, genetics, phylogeny and taxonomy, and metabolic and genetic diversity. [Note: BIOL 240L must be completed before taking BIOL 241. BIOL 240L may be required for entrance to certain professional/graduate programs. Formerly BIOL 140. Offered: S, F, W]"
BIOL 240,1,Fundamentals of Microbiology,False,True,False,0.5982142857142857,112,0.84375,96,0.8048780487804879,123,"Introduction to the biology of bacterial and archaeal organisms. Topics include cell structure and function, methods of cultivation, genetics, phylogeny and taxonomy, and metabolic and genetic diversity. [Note: BIOL 240L must be completed before taking BIOL 241. BIOL 240L may be required for entrance to certain professional/graduate programs. Formerly BIOL 140. Offered: S, F, W]"
CHEM 123,2,"Chemical Reactions, Equilibria and Kinetics",True,True,False,0.5579710144927537,138,0.8394160583941606,137,0.6516129032258065,155,"Properties of liquids and solutions. Introduction to chemical equilibria. Principles of acid-base equilibria, solubility and electrochemical processes. Chemical kinetics. [Note: Science students must also take CHEM 123L. Offered: W,S]"
